,fecha,titulo,descripcion
81,10 de diciembre de 2018 13:56,Un millón de dólares sería el monto sustraído a entidad bancaria en Manta,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
82,09 de diciembre de 2018 19:00,Robo a un banco se registró en centro comercial de Manta,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
83,30 de noviembre de 2018 09:58,Agentes frustraron robo de $ 10.000 en local de lotería al sur de Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
84,25 de octubre de 2018 04:20,Ciudadano fue detenido cuando robaba partes de paradero urbano en Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
85,07 de septiembre de 2018 16:43,Policía desarticula banda dedicada a robo de locales comerciales en Manta,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
86,30 de agosto de 2018 00:05,Prisión preventiva para seis detenidos por robo en el norte de Guayaquil,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
87,16 de agosto de 2018 11:46,"Bandas dedicadas al robo, estafa y piratería marítima caen en megaoperativo","

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
88,06 de agosto de 2018 17:35,Armada recupera en Esmeraldas una embarcación que fue robada en Manta,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
89,08 de julio de 2018 00:00,Sospechoso de robar en oficina de la CTE portaba un grillete,"Durante el asalto, un miembro de la entidad de tránsito resultó herido con un disparo en la pierna. Los ladrones se llevaron $ 7.100 y celulares de los usuarios."
90,28 de junio de 2018 00:00,Plan “Vehículo Seguro” bajará el robo de autos,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
91,21 de junio de 2018 00:00,"Sospechosos de crimen de mujer, tras las rejas","La víctima fue estrangulada en su casa por dos individuos que se apoderaron de $ 15.000, de los cuales la Policía recuperó $ 12.650, tras un operativo."
92,13 de junio de 2018 00:00,Ladrón golpea amujer y le arrebata el celular,La Policía confía en que detendrán al maleante y su cómplice. Nueve bandas delictivas fueron desarticuladas en el distrito Modelo de Guayaquil.
93,07 de junio de 2018 07:32,Roban datos de 92 millones de usuarios de la web genealógica MyHeritage,"

Hacienda la Compañía, 27 años de historia en la producción de rosas en Ecuador

Conoce el proceso de producción, venta y distribución de rosas en Cayambe."
94,05 de junio de 2018 00:00,El Gobernador de Azuay denuncia robo de dinamita,Se presume que los comuneros que intentaron tomarse el campamento de Río Blanco sustrajeron 2.600 tacos del explosivo. Ecuarunari califica las acusaciones como falsas.
95,16 de mayo de 2018 09:57,Miembro de banda delictiva en Quito cuenta con 14 arrestos por robo,"

Seis PPL fallecieron por amotinamiento en cárcel de Quevedo

La Policía llegó a la cárcel para retomar el control, mientras los familiares de los PPL también se..."
96,09 de mayo de 2018 18:22,"Robaron el traje de ""Iron Man"", valorado en $ 325.000","

MAAC abordará conversatorio virtual sobre procesos de arte fuera de la institucionalidad

 Los ponentes será de países como Ecuador, Chile, Suiza, España y Brasil."
