,titulo,link
289,"Según Observatorio, el robo a personas creció en Guayaquil",/noticias/judicial/12/segun-observatorio-el-robo-a-personas-crecio-en-guayaquil
290,Inició juzgamiento por robo en Quicentro Sur de hace un año,/noticias/judicial/12/inicio-juzgamiento-por-robo-en-quicentro-sur-de-hace-un-ano
291,Cuba acusa a EE.UU. de robo de marca de habanos,/noticias/mundo/8/cuba-acusa-a-ee-uu-de-robo-de-marca-de-habanos
292,Detienen a banda delictiva cuando intentaba robar en una vivienda,/noticias/judicial/12/detienen-a-banda-delictiva-cuando-intentaba-robar-en-una-vivienda
293,Gendarmes extorsionaban a personas víctimas de robo,/noticias/judicial/12/gendarmes-extorsionaban-a-personas-victimas-de-robo
294,Capturan a 8 personas acusadas de intento de robo de 80 cerdos,/noticias/judicial/12/capturan-a-8-personas-acusadas-de-intento-de-robo-de-80-cerdos
301,En Milagro detienen a sujetos acusados de robar a vigilantes,/noticias/judicial/12/en-milagro-detienen-a-sujetos-acusados-de-robar-a-vigilantes
302,Detienen al autor del robo de un Dalí en Nueva York ,/noticias/espectaculos/10/detienen-al-autor-del-robo-de-un-dali-en-nueva-york
303,Hombre es detenido tras robar puerta metálica de un parque,/noticias/judicial/12/hombre-es-detenido-tras-robar-puerta-metalica-de-un-parque
304,Desarticulan presunta banda dedicada al robo de ganado,/noticias/judicial/12/desarticulan-presunta-banda-dedicada-al-robo-de-ganado
305,Cuatro sujetos son detenidos en Guayaquil luego de haber robado,/noticias/judicial/12/cuatro-sujetos-son-detenidos-en-guayaquil-luego-de-haber-robado
306,Hombre es asesinado por oponerse a asalto y robo en bus,/noticias/judicial/12/hombre-es-asesinado-por-oponerse-a-asalto-y-robo-en-bus
307,Robo en Municipio de Pasaje,/noticias/regional-sur/2/robo-en-municipio-de-pasaje
308,Sede de las juntas parroquiales de Esmeraldas sufre robo de su oficina por segunda vez,/noticias/informacion-general/1/sede-de-las-juntas-parroquiales-de-esmeraldas-sufre-robo-de-su-oficina-por-segunda-vez
309,Intervención de ciudadanos logra frustrar robo a un local,/noticias/judicial/12/intervencion-de-ciudadanos-logra-frustrar-robo-a-un-local
310,Policía detiene a sospechosos y frustra robo,/noticias/judicial/12/policia-detiene-a-sospechosos-y-frustra-robo
317,Baja el número de teléfonos celulares reportados como perdidos o robados en el país,/noticias/economia/4/baja-el-numero-de-telefonos-celulares-reportados-como-perdidos-o-robados-en-el-pais
318,Tribunal penal impone sentencia en apenas 17 días de proceso,/noticias/judicial/12/tribunal-penal-impone-sentencia-en-apenas-17-dias-de-proceso
319,21 sudamericanos detenidos por robar casas y traficar cocaína,/noticias/mundo/8/21-sudamericanos-detenidos-por-robar-casas-y-traficar-cocaina
320,Los acusados de robar Banco Sudamericano son presentados,/noticias/judicial/12/los-acusados-de-robar-banco-sudamericano-son-presentados
321,Robo y contrabando de combustible se realiza con placas clonadas,/noticias/informacion-general/1/robo-y-contrabando-de-combustible-se-realiza-con-placas-clonadas
322,Desarticulan a presunta banda dedicada al robo y asalto en agencias bancarias en Guayaquil,/noticias/judicial/12/desarticulan-a-presunta-banda-dedicada-al-robo-y-asalto-en-agencias-bancarias-en-guayaquil
323,Enmascarados se apoderan de 56 mil dólares,/noticias/judicial/12/enmascarados-se-apoderan-de-56-mil
